Date,AveragePrice,SalesVolume,DetachedPrice,SemiDetachedPrice,TerracedPrice,FlatPrice
01/11/1999 00:00,76001,,,,,
01/12/1999 00:00,76001,,,,,
01/01/2000 00:00,77950,,,,,
01/02/2000 00:00,77950,,,,,
01/03/2000 00:00,77950,,,,,
01/04/2000 00:00,82197,,,,,
01/05/2000 00:00,82197,,,,,
01/06/2000 00:00,82197,,,,,
01/07/2000 00:00,83746,,,,,
01/08/2000 00:00,83746,,,,,
01/09/2000 00:00,83746,,,,,
01/10/2000 00:00,86244,,,,,
01/11/2000 00:00,86244,,,,,
01/12/2000 00:00,86244,,,,,
01/01/2001 00:00,85794,,,,,
01/02/2001 00:00,85794,,,,,
01/03/2001 00:00,85794,,,,,
01/04/2001 00:00,88892,,,,,
01/05/2001 00:00,88892,,,,,
01/06/2001 00:00,88892,,,,,
01/07/2001 00:00,92090,,,,,
01/08/2001 00:00,92090,,,,,
01/09/2001 00:00,92090,,,,,
01/10/2001 00:00,90242,,,,,
01/11/2001 00:00,90242,,,,,
01/12/2001 00:00,90242,,,,,
01/01/2002 00:00,89928,,,,,
01/02/2002 00:00,93190,,,,,
01/03/2002 00:00,96451,,,,,
01/04/2002 00:00,97756,,,,,
01/05/2002 00:00,100272,,,,,
01/06/2002 00:00,104372,,,,,
01/07/2002 00:00,105211,,,,,
01/08/2002 00:00,107541,,,,,
01/09/2002 00:00,110150,,,,,
01/10/2002 00:00,110989,,,,,
01/11/2002 00:00,112107,,,,,
01/12/2002 00:00,115835,,,,,
01/01/2003 00:00,114996,,,,,
01/02/2003 00:00,113785,,,,,
01/03/2003 00:00,116208,,,,,
01/04/2003 00:00,119003,,,,,
01/05/2003 00:00,118164,,,,,
01/06/2003 00:00,118444,,,,,
01/07/2003 00:00,120494,,,,,
01/08/2003 00:00,122638,,,,,
01/09/2003 00:00,122265,,,,,
01/10/2003 00:00,124408,,,,,
01/11/2003 00:00,123010,,,,,
01/12/2003 00:00,125433,,,,,
01/01/2004 00:00,126179,,,,,
01/02/2004 00:00,124967,,,,,
01/03/2004 00:00,125247,,,,,
01/04/2004 00:00,130931,,,,,
